code,name,priority_rank,region,zone,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun
53,Beth Israel Deaconess Medical Center - East Campus,1,Longwood,1,55,55,55,,55,,,50,50,50,50,50,6,6,,,140,,,,
54,Beth Israel Deaconess Medical Center - West Campus,1,Longwood,1,,200,,200,200,,,180,180,180,180,180,50,50,,100,,100,,,
18,Boston Children's Hospital - ED,1,Longwood,1,,,,,,,,,,,,,,,60,60,60,60,60,,
36,Brigham & Women's Hospital (COVID ICUs),1,Longwood,1,210,210,210,210,210,200,200,210,210,210,210,210,200,200,210,210,210,210,210,200,200
52,Brigham and Women's Hospital - Central,1,Longwood,1,,,,,,,,,,,,,550,450,,,,,,300,300
4,Brigham and Women's Hospital - ED,1,Longwood,1,,,,,,,,,,100,,,,100,,,100,,,,100
23,Dana Farber Cancer Institute - Inpatient PAs,1,Longwood,1,,,,,,,,30,30,30,30,30,20,20,,,,,,,
15,Whittier Street Health Center,2,Longwood,1,,,,,,,,150,150,150,150,150,,,,,,,,,
44,Bowdoin Street Health Center,2,Dorchester/Mattapan,2,,,,,,,,52,,52,,52,,,,,,,,,
31,BWH - Faulkner 7N Covid Unit,1,Roxbury / Jamaica Plain,2,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20
5,BWH - Faulkner ED,1,Roxbury / Jamaica Plain,2,,,,,,,,,,45,,,,45,,,45,,,,45
51,BWH - Faulkner Hospital Central,1,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,100,100,,,,,,,
32,BWH - Faulkner ICU,1,Roxbury / Jamaica Plain,2,,,,,,,,30,30,30,30,30,30,30,25,25,25,25,25,25,25
8,Carney Hospital - ED,1,Dorchester/Mattapan,2,,,,,,,,135,135,135,135,135,135,135,135,135,135,135,135,135,135
16,Codman Square Health Center - Site 1,2,Dorchester/Mattapan,2,,,,,,,,120,120,120,120,120,,,,,,,,,
41,Codman Square Health Center - Site 2,2,Dorchester/Mattapan,2,,,,,,,,25,25,25,25,25,,,,,,,,,
40,Dimock Center,2,Roxbury / Jamaica Plain,2,,,,,,,,,20,,,20,10,,,,,20,,,
11,Dot House Health Dorchester,2,Dorchester/Mattapan,2,,,,,,,,25,25,25,25,25,,,,,,,,,
55,Harbor Health Services Inc.,2,Dorchester/Mattapan,2,,,,,,,,,,25,,25,,,,,,,,,
35,Harvard Street Neighborhood Health Center,2,Dorchester/Mattapan,2,,,,,,,,30,30,30,30,30,,,,,,,,,
9,Mattapan Community Health Center,2,Dorchester/Mattapan,2,,,,,,,,35,,35,,35,,,,,,,,,
50,Pine Street Inn Holy Family Shelter,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,4,4,4,4,4,4,4
49,Pine Street Inn Shattuck Shelter,2,Roxbury / Jamaica Plain,2,,,,,,,,21,21,21,21,21,21,21,7,7,7,7,7,7,7
19,Southern Jamaica Plain Health Center (part of Brigham & Women's),2,Roxbury / Jamaica Plain,2,,,,,,,,40,40,40,40,40,,,,,,,,,
13,Upham's Corner Health Center,2,Dorchester/Mattapan,2,,,,,70,,,70,70,70,70,,,,,,,,,,
