code,name,priority_rank,region,zone,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun
4,Brigham and Women's Hospital - ED,3,Longwood,1,,,,,,,,,,,,,,,,,,,,,
15,Whittier Street Health Center,3,Longwood,1,,,,,,,,,,,,,,,,,,,,,
18,Boston Children's Hospital - ED,3,Longwood,1,,,,,,,,,,,,,,,,,,,,,
23,Dana Farber Cancer Institute - Inpatient PAs,2,Longwood,1,,,,,,,,,,,,,,,,,,,,,
36,Brigham & Women's Hospital (COVID ICUs),3,Longwood,1,,,,,,,,,,,,,,,,,,,,,
53,Beth Israel Deaconess Medical Center - East Campus,3,Longwood,1,,,,,,,,,,,,,,,,,,,,,
54,Beth Israel Deaconess Medical Center - West Campus,3,Longwood,1,,,,,,,,,,,,,,,,,,,,,
60,Brigham & Women's Hospital - Primary Care Center,3,Longwood,1,,,,,,,,,,,,,,,,,,,,,
8,Carney Hospital - ED,1,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
9,Mattapan Community Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
11,Dot House Health Dorchester,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
13,Upham's Corner Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
16,Codman Square Health Center - Site 1,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
35,Harvard Street Neighborhood Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
41,Codman Square Health Center - Site 2,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
44,Bowdoin Street Health Center,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
50,Pine Street Inn Holy Family Shelter,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
55,Harbor Health Services Inc.,2,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
67,Harbor Health Elder Service Plan,3,Dorchester/Mattapan,2,,,,,,,,,,,,,,,,,,,,,
5,BWH - Faulkner ED,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
12,VA Medical Center - West Roxbury,1,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
19,Southern Jamaica Plain Health Center (part of Brigham & Women's),2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
31,BWH - Faulkner 7N Covid Unit,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
32,BWH - Faulkner ICU,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
40,Dimock Center,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
49,Pine Street Inn Shattuck Shelter,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
59,BWH - Faulkner 6N,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
61,Brookside Community Health Center,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
66,Hope House Addiction Services,2,Roxbury / Jamaica Plain,2,,,,,,,,,,,,,,,,,,,,,
7,Boston Healthcare for the Homeless - Engagement Center,1,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
28,Boston Medical Center,3,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
29,Tufts Medical Center,2,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
30,South Boston Community Health Center,3,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
39,Boston Healthcare for the Homeless - Albany Street,1,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
45,South End Community Health Center,3,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
47,Pine Street Inn - Site 1,2,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
48,Pine Street Inn - Site 2,2,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
56,Tufts Medical Center - Cardiothoracic ICU,2,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
64,Boston Healthcare for the Homeless - Southampton Shelter,2,South End / Southie,3,,,,,,,,,,,,,,,,,,,,,
10,East Boston Neighborhood Health Center,3,Downtown / East,4,,,,,,,,,,,,,,,,,,,,,
14,BIDMC - Chelsea,3,Downtown / East,4,,,,,,,,,,,,,,,,,,,,,
25,Cambridge Health Alliance - Everett Hospital,2,Downtown / East,4,,,,,,,,,,,,,,,,,,,,,
34,Massachusetts General Hospital - PICU,3,Downtown / East,4,,,,,,,,,,,,,,,,,,,,,
37,Massachusetts General Hospital - Central,3,Downtown / East,4,,,,,,,,,,,,,,,,,,,,,
38,North End Waterfront Health Center,3,Downtown / East,4,,,,,,,,,,,,,,,,,,,,,
46,Boston EMS - South End,2,Downtown / East,4,,,,,,,,,,,,,,,,,,,,,
57,MGH Chelsea HealthCare Center,3,Downtown / East,4,,,,,,,,,,,,,,,,,,,,,
20,Charles River Community Health,3,Cambridge / West,5,,,,,,,,,,,,,,,,,,,,,
24,Cambridge Health Alliance - Cambridge Hospital,2,Cambridge / West,5,,,,,,,,,,,,,,,,,,,,,
42,Mt. Auburn Hospital,2,Cambridge / West,5,,,,,,,,,,,,,,,,,,,,,
62,Saint Vincent Hospital,1,Worcester,6,,,,,,,,,,,,,,,,,,,,,
63,Good Samaritan Medical Center,1,Brockton,7,,,,,,,,,,,,,,,,,,,,,
65,Brockton Neighborhood Health Center,2,Brockton,7,,,,,,,,,,,,,,,,,,,,,
66,Signature Healthcare Brockton Hospital,1,Brockton,7,,,,,,,,,,,,,,,,,,,,,
63,Good Samaritan Medical Center,1,Brockton,7,,,,,,,,,,,,,,,,,,,,,
